"dates","Open","High","Low","Close","Volume","OpenInt","TotalOpenInt"
"2012-06-18",0,1212.75,1212.75,1212.75,0,6,772429
"2012-06-19",0,1243,1243,1243,0,6,771476
"2012-06-20",0,1254.5,1254.5,1254.5,0,6,783332
"2012-06-21",0,1232.5,1232.5,1232.5,0,6,786467
"2012-06-22",0,1235.5,1235.5,1235.5,0,6,773095
"2012-06-25",0,1265.75,1265.75,1265.75,0,6,774359
"2012-06-26",0,1256.5,1256.5,1256.5,0,6,769831
"2012-06-27",0,1252.25,1252.25,1252.25,0,6,767736
"2012-06-28",0,1247.25,1247.25,1247.25,0,6,765753
"2012-06-29",0,1267.5,1267.5,1267.5,4,8,764563
"2012-07-02",0,1284.25,1284.25,1284.25,0,8,769935
"2012-07-03",0,1302.75,1302.75,1302.75,0,8,773141
"2012-07-04",0,1302.75,1302.75,1302.75,0,0,0
"2012-07-05",1315.25,1322,1315.25,1322,0,8,775344
"2012-07-06",1307.75,1308,1307.75,1308,1,8,802740
"2012-07-09",1328,1328,1327.75,1327.75,2,8,799616
"2012-07-10",1325,1325,1324.25,1324.25,2,9,800506
"2012-07-11",0,1298.5,1298.5,1298.5,1,9,799500
"2012-07-12",0,1301.25,1301.25,1301.25,0,9,815115
"2012-07-13",0,1323.75,1323.75,1323.75,0,9,822467
"2012-07-16",0,1346,1346,1346,0,9,821605
"2012-07-17",0,1336.25,1336.25,1336.25,0,9,828300
"2012-07-18",0,1326.75,1326.75,1326.75,0,9,833271
"2012-07-19",0,1300.25,1300.25,1300.25,0,9,838137
"2012-07-20",0,1309.25,1309.25,1309.25,1,9,836188
"2012-07-23",0,1275,1275,1275,0,9,836413
"2012-07-24",0,1253.75,1253.75,1253.75,0,9,829972
"2012-07-25",0,1274.5,1274.5,1274.5,0,9,811596
"2012-07-26",0,1248,1248,1248,0,9,803124
"2012-07-27",0,1270,1270,1270,0,9,797713
"2012-07-30",0,1295,1295,1295,0,9,764150
"2012-07-31",0,1289.75,1289.75,1289.75,0,9,763147
"2012-08-01",0,1281.5,1281.5,1281.5,0,9,760359
"2012-08-02",0,1279,1279,1279,0,9,762624
"2012-08-03",0,1299.5,1299.5,1299.5,0,9,760686
"2012-08-06",0,1282.25,1282.25,1282.25,0,9,763054
"2012-08-07",0,1274,1274,1274,0,9,758262
"2012-08-08",0,1279.5,1279.5,1279.5,0,9,752907
"2012-08-09",0,1293.25,1293.25,1293.25,0,9,742942
"2012-08-10",0,1311.5,1311.5,1311.5,0,9,745363
"2012-08-13",0,1281.25,1281.25,1281.25,0,9,748899
"2012-08-14",0,1286.25,1286.25,1286.25,0,9,744752
"2012-08-15",0,1296.75,1296.75,1296.75,0,9,741621
"2012-08-16",0,1286.5,1286.5,1286.5,0,9,739198
"2012-08-17",0,1292.75,1292.75,1292.75,0,9,739615
"2012-08-20",0,1306.75,1306.75,1306.75,0,9,740510
"2012-08-21",1317.75,1334.75,1317.75,1334.75,0,9,742917
"2012-08-22",0,1338.25,1338.25,1338.25,46,39,755187
"2012-08-23",0,1325.25,1325.25,1325.25,0,39,753488
"2012-08-24",0,1333,1333,1333,3,40,757670
"2012-08-27",0,1331.75,1331.75,1331.75,0,40,747565
"2012-08-28",0,1347.25,1347.25,1347.25,0,40,741452
"2012-08-29",0,1357,1357,1357,0,40,742075
"2012-08-30",0,1360,1360,1360,0,40,740977
"2012-08-31",0,1363.75,1363.75,1363.75,0,40,747352
"2012-09-03",0,1363.75,1363.75,1363.75,0,0,0
